id,origin_name,result_nums,final_name,type,errorcode,certified,hasany
71,小龙坎,11,小龙坎老火锅,正确,0,FALSE,1
27,小龙坎火锅,0,小龙坎老火锅,正确,0,FALSE,1
101,小秦川,1,阿德餐饮小秦川西北菜,正确,0,,
103,小杨烤肉,0,小杨烧烤,正确,0,,
34,小猪小牛,2,小猪小牛章鱼水煎肉,正确,0,FALSE,
305,小拙匠,4,小拙匠火锅,正确,0,FALSE,1
156,新疆吵米粉,0,新疆炒米粉,正确,0,FALSE,
131,新疆大盘鸡,31,新疆大盘鸡,正确,0,,
386,新胜记,1,新胜记海鲜肥牛火锅酒家,正确,0,,
552,许昌李二鲜鱼村,0,李二鲜鱼,正确,0,,
258,延庆祥炸鸡,1,延庆祥炸鸡,正确,0,FALSE,
87,严厨酸菜鱼,0,严厨老坛酸菜鱼,正确,0,FALSE,
136,宴和饺子馆,1,宴和饺子馆,正确,0,,
178,宴奴饺子馆,1,宴奴饺子馆,正确,0,,
199,宴秋,7,宴秋杭州菜,正确,0,FALSE,1
299,宴遇草原,1,宴遇草原家,正确,0,,
222,羊大爷烤羊腿,1,羊大爷烤羊腿,正确,0,TRUE,
137,杨国福麻辣烫,63,杨国福麻辣烫,正确,0,,
383,杨记烩面馆,3,杨记烩面馆,正确,0,,
515,杨记清芳,6,杨记清芳牛肉拉面,正确,0,FALSE,
255,夜食记,1,和煦夜食记,正确,0,,
434,夜小红,20,夜小红炒虾尾,正确,0,FALSE,1
252,夜小红炒虾尾,19,夜小红炒虾尾,正确,0,FALSE,1
558,烨田生态园,1,烨田生态园·清真,正确,0,,
503,溢香苑,5,溢香苑烩面,正确,0,,
236,隐野食堂,1,隐野食堂,正确,0,FALSE,
414,鱼湘洞庭府,1,鱼湘洞庭府·宴会厅,正确,0,,
575,遇见小火锅,3,遇见小火锅,正确,0,,
139,裕丰园,1,裕丰园,正确,0,,
341,豫锦记,4,豫锦记葱花大饼,正确,0,,
247,豫满楼,10,豫满楼,正确,0,FALSE,
268,袁记串串香,4,袁记串串香,正确,0,FALSE,
146,悦餐馆,0,悦小馆,正确,0,FALSE,
49,悦小馆,1,悦小馆,正确,0,FALSE,
231,张福记,7,张福记,正确,0,FALSE,
152,张亮麻辣烫,97,张亮麻辣烫,正确,0,FALSE,
9,赵记烩面,4,赵记烩面,正确,0,,
484,正阳县谷养元,0,谷养元粥铺,正确,0,,
461,郑喜旺烧烤荥阳店,0,郑喜旺烧烤,正确,0,FALSE,
481,炙度围炉烧,1,炙度围炉烧,正确,0,FALSE,
227,中牟县建设路谷养元,0,谷养元粥铺,正确,0,,
119,中兴楼,2,中兴楼,正确,0,,
455,状元烤场,2,状元烤场,正确,0,FALSE,
147,酔巴鲜烤鱼,0,醉巴鲜烤鱼,正确,0,FALSE,
109,醉巴仙烤鱼,0,醉巴鲜烤鱼,正确,0,FALSE,
251,醉巴仙烤鱼熙地港店,0,醉巴鲜烤鱼,正确,0,FALSE,
239,醉巴鲜烤鱼,12,醉巴鲜烤鱼,正确,0,FALSE,
382,醉鱼轩,4,醉鱼轩烤鱼,正确,0,FALSE,
